PLAYER_NAME,Season,REB_CONTEST_PCT,AVG_REB_DIST
Marcus Morris Sr.,2018-19,0.255,6.2
Marcus Smart,2018-19,0.346,8.3
Mario Hezonja,2018-19,0.21,6.3
Markelle Fultz,2018-19,0.286,8.2
Markieff Morris,2018-19,0.385,6.0
Marquese Chriss,2018-19,0.437,6.2
Marvin Bagley III,2018-19,0.431,4.9
Marvin Williams,2018-19,0.322,6.9
Mason Plumlee,2018-19,0.391,4.9
Matthew Dellavedova,2018-19,0.143,8.9
Maurice Harkless,2018-19,0.375,6.3
Maxi Kleber,2018-19,0.432,6.2
Melvin Frazier Jr.,2018-19,0.4,4.8
Meyers Leonard,2018-19,0.365,4.9
Michael Beasley,2018-19,0.3,5.2
Michael Carter-Williams,2018-19,0.386,7.1
Michael Kidd-Gilchrist,2018-19,0.48,5.6
Mikal Bridges,2018-19,0.288,9.1
Mike Conley,2018-19,0.184,10.1
Mike Muscala,2018-19,0.342,6.0
Mike Scott,2018-19,0.264,6.8
Miles Bridges,2018-19,0.344,6.4
Miles Plumlee,2018-19,0.436,4.5
Milos Teodosic,2018-19,0.063,7.8
Mitchell Creek,2018-19,0.583,9.3
Mitchell Robinson,2018-19,0.504,5.8
Mo Bamba,2018-19,0.448,4.2
Monte Morris,2018-19,0.165,11.0
Montrezl Harrell,2018-19,0.501,5.2
Moritz Wagner,2018-19,0.412,5.2
Myles Turner,2018-19,0.427,4.5
Naz Mitrou-Long,2018-19,0.0,10.6
Nemanja Bjelica,2018-19,0.432,5.2
Nene,2018-19,0.423,5.7
Nerlens Noel,2018-19,0.435,4.9
Nick Young,2018-19,0.0,11.0
Nicolas Batum,2018-19,0.328,6.8
Nik Stauskas,2018-19,0.15,7.5
Nikola Jokic,2018-19,0.466,4.4
Nikola Mirotic,2018-19,0.319,5.0
Nikola Vucevic,2018-19,0.431,4.6
Noah Vonleh,2018-19,0.373,5.0
Norman Powell,2018-19,0.201,7.5
OG Anunoby,2018-19,0.35,5.8
Okaro White,2018-19,0.5,8.8
Omari Spellman,2018-19,0.464,5.1
Omri Casspi,2018-19,0.278,5.6
Otto Porter Jr.,2018-19,0.277,6.3
P.J. Dozier,2018-19,0.294,6.0
P.J. Tucker,2018-19,0.38,6.4
Pascal Siakam,2018-19,0.313,6.0
Pat Connaughton,2018-19,0.264,6.4
Patrick Beverley,2018-19,0.193,7.7
Patrick McCaw,2018-19,0.271,9.4
Patrick Patterson,2018-19,0.356,6.9
Patty Mills,2018-19,0.088,12.1
Pau Gasol,2018-19,0.401,4.4
Paul George,2018-19,0.236,7.5
Paul Millsap,2018-19,0.384,5.8
Quincy Acy,2018-19,0.36,4.6
Quincy Pondexter,2018-19,0.152,8.2
Quinn Cook,2018-19,0.121,8.6
RJ Hunter,2018-19,0.333,14.5
Rajon Rondo,2018-19,0.165,8.7
Raul Neto,2018-19,0.21,9.1
Rawle Alkins,2018-19,0.423,7.3
Ray Spalding,2018-19,0.479,5.1
Raymond Felton,2018-19,0.176,11.9
Reggie Bullock,2018-19,0.185,9.7
Reggie Jackson,2018-19,0.157,10.3
Richaun Holmes,2018-19,0.486,5.0
Ricky Rubio,2018-19,0.172,10.1
Robert Covington,2018-19,0.269,7.0
Robert Williams III,2018-19,0.469,5.3
Robin Lopez,2018-19,0.589,4.9
Rodions Kurucs,2018-19,0.321,6.4
Rodney Hood,2018-19,0.191,10.4
Rodney McGruder,2018-19,0.261,8.1
Ron Baker,2018-19,0.182,10.7
Rondae Hollis-Jefferson,2018-19,0.352,5.9
Royce O'Neale,2018-19,0.261,7.0
Rudy Gay,2018-19,0.283,5.3
Rudy Gobert,2018-19,0.388,4.2
Russell Westbrook,2018-19,0.166,6.9
Ryan Anderson,2018-19,0.444,6.0
Ryan Arcidiacono,2018-19,0.138,9.2
Ryan Broekhoff,2018-19,0.222,10.1
Salah Mejri,2018-19,0.443,4.7
Sam Dekker,2018-19,0.287,6.5
Scott Machado,2018-19,0.0,0.0
Semi Ojeleye,2018-19,0.395,8.3
Serge Ibaka,2018-19,0.423,4.4
Seth Curry,2018-19,0.142,11.5
Shabazz Napier,2018-19,0.15,10.1
Shai Gilgeous-Alexander,2018-19,0.289,9.6
Shake Milton,2018-19,0.114,8.3
Shaquille Harrison,2018-19,0.195,8.4
Shaun Livingston,2018-19,0.316,8.8
Shelvin Mack,2018-19,0.173,11.1
Sindarius Thornwell,2018-19,0.318,7.3
Skal Labissiere,2018-19,0.395,5.8
Solomon Hill,2018-19,0.316,7.2
Spencer Dinwiddie,2018-19,0.151,10.4
Stanley Johnson,2018-19,0.244,7.5
Stephen Curry,2018-19,0.211,8.1
Sterling Brown,2018-19,0.212,7.6
Steven Adams,2018-19,0.513,5.3
Svi Mykhailiuk,2018-19,0.194,10.8
T.J. Leaf,2018-19,0.384,6.3
T.J. McConnell,2018-19,0.148,8.8
T.J. Warren,2018-19,0.322,7.8
Tahjere McCall,2018-19,0.0,6.5
Taj Gibson,2018-19,0.437,5.7
Taurean Prince,2018-19,0.211,8.1
Terrance Ferguson,2018-19,0.239,10.0
Terrence Jones,2018-19,0.5,3.5
Terrence Ross,2018-19,0.145,7.3
Terry Rozier,2018-19,0.166,7.7
Thabo Sefolosha,2018-19,0.205,6.2
Thaddeus Young,2018-19,0.405,5.7
Theo Pinson,2018-19,0.222,7.7
Thomas Bryant,2018-19,0.431,4.6
Thomas Welsh,2018-19,0.25,7.7
Thon Maker,2018-19,0.282,6.3
Tim Frazier,2018-19,0.214,8.1
Tim Hardaway Jr.,2018-19,0.236,8.7
Timothe Luwawu-Cabarrot,2018-19,0.299,6.9
Tobias Harris,2018-19,0.231,5.8
Tomas Satoransky,2018-19,0.224,8.5
Tony Bradley,2018-19,0.533,3.4
Tony Parker,2018-19,0.108,10.9
Tony Snell,2018-19,0.248,7.6
Torrey Craig,2018-19,0.35,7.7
Trae Young,2018-19,0.123,10.2
Treveon Graham,2018-19,0.299,6.7
Trevon Duval,2018-19,1.0,9.0
Trevor Ariza,2018-19,0.253,6.9
Trey Burke,2018-19,0.202,10.5
Trey Lyles,2018-19,0.325,5.7
Tristan Thompson,2018-19,0.477,4.6
Troy Brown Jr.,2018-19,0.317,7.6
Troy Caupain,2018-19,0.333,14.8
Troy Daniels,2018-19,0.192,7.4
Troy Williams,2018-19,0.339,6.3
Tyler Cavanaugh,2018-19,0.375,8.5
Tyler Davis,2018-19,1.0,2.3
Tyler Dorsey,2018-19,0.195,7.9
Tyler Johnson,2018-19,0.156,9.1
Tyler Lydon,2018-19,0.444,5.6
Tyler Ulis,2018-19,0.0,
Tyler Zeller,2018-19,0.542,4.9
Tyreke Evans,2018-19,0.264,8.8
Tyrone Wallace,2018-19,0.287,6.7
Tyson Chandler,2018-19,0.443,4.7
Tyus Jones,2018-19,0.075,11.1
Udonis Haslem,2018-19,0.222,4.1
Victor Oladipo,2018-19,0.208,7.5
Vince Carter,2018-19,0.356,6.8
Vincent Edwards,2018-19,0.0,11.9
Wade Baldwin IV,2018-19,0.2,7.7
Walt Lemon Jr.,2018-19,0.148,7.8
Wayne Ellington,2018-19,0.131,11.0
Wayne Selden,2018-19,0.267,9.0
Wendell Carter Jr.,2018-19,0.507,4.9
Wes Iwundu,2018-19,0.245,7.3
Wesley Johnson,2018-19,0.236,8.6
Wesley Matthews,2018-19,0.229,10.4
Will Barton,2018-19,0.226,7.1
Willie Cauley-Stein,2018-19,0.409,5.3
Willy Hernangomez,2018-19,0.463,4.7
Wilson Chandler,2018-19,0.361,6.3
Yante Maten,2018-19,0.333,2.9
Yogi Ferrell,2018-19,0.11,10.3
Yuta Watanabe,2018-19,0.258,7.3
Zach Collins,2018-19,0.522,5.1
Zach LaVine,2018-19,0.21,6.0
Zach Lofton,2018-19,0.0,0.0
Zaza Pachulia,2018-19,0.494,4.4
Zhaire Smith,2018-19,0.308,9.0
Zhou Qi,2018-19,0.0,0.0
Aaron Gordon,2019-20,0.347,5.9
Aaron Holiday,2019-20,0.141,10.7
Abdel Nader,2019-20,0.2,7.9
Adam Mokoka,2019-20,0.7,3.8
Admiral Schofield,2019-20,0.319,5.9
Al Horford,2019-20,0.346,6.6
Al-Farouq Aminu,2019-20,0.322,5.9
Alec Burks,2019-20,0.213,7.5
Alen Smailagic,2019-20,0.407,4.6
Alex Caruso,2019-20,0.285,9.5
Alex Len,2019-20,0.481,4.3
Alfonzo McKinnie,2019-20,0.354,6.1
Alize Johnson,2019-20,0.375,4.9
Allen Crabbe,2019-20,0.091,8.3
Allonzo Trier,2019-20,0.172,8.8
Amile Jefferson,2019-20,0.652,3.9
Amir Coffey,2019-20,0.25,8.0
Andre Drummond,2019-20,0.453,4.1
Andre Iguodala,2019-20,0.278,8.2
Andre Roberson,2019-20,0.444,6.1
Andrew Wiggins,2019-20,0.321,6.8
Anfernee Simons,2019-20,0.191,9.0
Ante Zizic,2019-20,0.5,4.6
Anthony Davis,2019-20,0.423,5.4
Anthony Tolliver,2019-20,0.331,6.0
Antonius Cleveland,2019-20,0.143,7.8
Anzejs Pasecniks,2019-20,0.523,4.8
Aron Baynes,2019-20,0.406,5.4
Austin Rivers,2019-20,0.223,9.1
Avery Bradley,2019-20,0.191,7.9
BJ Johnson,2019-20,0.333,7.1
Bam Adebayo,2019-20,0.354,5.9
Ben McLemore,2019-20,0.191,8.1
Ben Simmons,2019-20,0.243,7.7
Bismack Biyombo,2019-20,0.507,4.8
Blake Griffin,2019-20,0.395,6.4
Boban Marjanovic,2019-20,0.513,3.8
Bobby Portis,2019-20,0.355,5.5
Bogdan Bogdanovic,2019-20,0.286,7.6
Bojan Bogdanovic,2019-20,0.208,8.2
Bol Bol,2019-20,0.474,3.5
Brad Wanamaker,2019-20,0.146,9.3
Bradley Beal,2019-20,0.26,9.2
Brandon Clarke,2019-20,0.383,5.6
Brandon Goodwin,2019-20,0.236,8.2
Brandon Ingram,2019-20,0.325,6.0
Brandon Knight,2019-20,0.122,8.2
Brian Bowen II,2019-20,0.143,3.1
Brook Lopez,2019-20,0.419,6.4
Bruce Brown,2019-20,0.265,6.7
Bruno Caboclo,2019-20,0.417,5.3
Bruno Fernando,2019-20,0.444,4.4
Bryn Forbes,2019-20,0.114,11.6
Buddy Hield,2019-20,0.183,8.2
CJ McCollum,2019-20,0.198,9.2
CJ Miles,2019-20,0.333,6.9
Caleb Martin,2019-20,0.342,7.7
Caleb Swanigan,2019-20,0.531,4.4
Cam Reddish,2019-20,0.19,9.0
Cameron Johnson,2019-20,0.279,8.0
Cameron Payne,2019-20,0.161,8.7
Caris LeVert,2019-20,0.28,7.3
Carmelo Anthony,2019-20,0.337,6.2
Carsen Edwards,2019-20,0.17,7.5
Cedi Osman,2019-20,0.216,7.6
Chandler Hutchison,2019-20,0.269,6.2
Chandler Parsons,2019-20,0.143,5.9
Charlie Brown Jr.,2019-20,0.25,7.3
Chasson Randle,2019-20,0.0,7.2
Cheick Diallo,2019-20,0.427,4.6
Chimezie Metu,2019-20,0.485,4.7
Chris Boucher,2019-20,0.487,4.3
Chris Chiozza,2019-20,0.113,10.9
Chris Clemons,2019-20,0.167,7.7
Chris Paul,2019-20,0.14,8.2
Chris Silva,2019-20,0.5,4.5
Christian Wood,2019-20,0.419,5.0
Clint Capela,2019-20,0.48,5.2
Coby White,2019-20,0.178,8.0
Cody Martin,2019-20,0.253,7.8
Cody Zeller,2019-20,0.496,4.6
Collin Sexton,2019-20,0.211,10.7
Corey Brewer,2019-20,0.125,9.8
Cory Joseph,2019-20,0.189,9.6
Courtney Lee,2019-20,0.097,10.7
Cristiano Felicio,2019-20,0.5,5.4
D'Angelo Russell,2019-20,0.136,8.1
D.J. Augustin,2019-20,0.164,11.7
D.J. Wilson,2019-20,0.272,5.6
DaQuan Jeffries,2019-20,0.389,9.0
Damian Jones,2019-20,0.471,5.0
Damian Lillard,2019-20,0.186,8.8
Damion Lee,2019-20,0.201,7.8
Damyean Dotson,2019-20,0.099,7.3
Daniel Gafford,2019-20,0.519,4.0
Daniel Theis,2019-20,0.399,5.1
Danilo Gallinari,2019-20,0.205,6.3
Danny Green,2019-20,0.262,7.3
Dante Exum,2019-20,0.149,8.4
Danuel House Jr.,2019-20,0.217,8.0
Dario Saric,2019-20,0.378,4.9
Darius Bazley,2019-20,0.305,5.8
Darius Garland,2019-20,0.162,11.3
Daryl Macon,2019-20,0.0,0.0
David Nwaba,2019-20,0.244,7.0
Davis Bertans,2019-20,0.286,7.2
