PLAYER_NAME,Season,Cut PPP,Cut FREQ,GP,Handoff PPP,Handoff FREQ,Isolation PPP,Isolation FREQ,OffScreen PPP,OffScreen FREQ,Postup PPP,Postup FREQ,PRBallHandler PPP,PRBallHandler FREQ,PRRollman PPP,PRRollman FREQ,OffRebound PPP,OffRebound FREQ,Spotup PPP,Spotup FREQ,Transition PPP,Transition FREQ,MIN,DRIVE_PASSES_PCT,FG3A,USG_PCT,POTENTIAL_AST FREQ,Restricted Area FREQ,In The Paint (Non-RA) FREQ,Mid-Range FREQ,3P FREQ,Drives FREQ,PULL_UP FREQ,CATCH_SHOOT FREQ,Cluster,Archetype
Darius Bazley,2021-22,1.186,0.073,69,0.825,0.049,0.523,0.054,0.917,0.015,0.0,0.0,0.678,0.073,0.959,0.091,1.053,0.047,0.962,0.384,1.021,0.175,27.9,0.3,3.9,0.18,0.2649572649572649,0.6545454545454545,0.3090909090909091,0.0363636363636363,0.4148936170212766,0.4615384615384616,0.0744680851063829,0.3617021276595744,3,Versatile Wing Slasher
James Johnson,2021-22,1.148,0.162,62,0.7,0.027,0.833,0.064,0.0,0.0,0.0,0.0,1.2,0.066,0.789,0.05,1.0,0.08,0.844,0.324,1.0,0.138,19.2,0.317,1.4,0.136,0.5901639344262296,0.7499999999999999,0.1944444444444444,0.0555555555555555,0.2799999999999999,0.4754098360655738,0.12,0.22,2,Off-Ball Big
Cody Martin,2021-22,1.353,0.096,71,0.516,0.059,1.412,0.032,0.0,0.0,0.0,0.0,0.542,0.091,0.818,0.021,0.571,0.04,1.083,0.342,1.239,0.253,26.3,0.469,2.2,0.12,0.5833333333333334,0.7027027027027027,0.1621621621621621,0.1351351351351351,0.3666666666666667,0.4861111111111111,0.1333333333333333,0.35,3,Versatile Wing Slasher
Jrue Holiday,2021-22,1.302,0.044,67,0.712,0.043,1.005,0.151,0.857,0.012,0.989,0.076,0.997,0.326,0.0,0.0,1.12,0.021,1.064,0.116,1.064,0.166,32.9,0.439,4.8,0.231,0.7541899441340782,0.4105263157894737,0.3578947368421052,0.231578947368421,0.3380281690140845,0.7262569832402235,0.4366197183098592,0.1056338028169014,9,Aggressive Guard
LaMarcus Aldridge,2021-22,1.232,0.103,47,0.0,0.0,0.0,0.0,0.0,0.0,0.99,0.179,0.0,0.0,1.201,0.358,1.255,0.094,1.092,0.161,1.12,0.046,22.3,0.188,1.0,0.219,0.1739130434782608,0.2528735632183908,0.2413793103448275,0.5057471264367815,0.1030927835051546,0.0260869565217391,0.2061855670103093,0.443298969072165,1,Versatile Big Creator
Gordon Hayward,2021-22,1.388,0.064,49,0.968,0.082,1.109,0.072,0.977,0.058,0.958,0.063,0.796,0.142,1.083,0.032,0.938,0.021,1.03,0.218,1.146,0.207,31.9,0.438,4.5,0.202,0.4358974358974358,0.4074074074074074,0.308641975308642,0.2839506172839506,0.3571428571428571,0.532051282051282,0.3015873015873015,0.3253968253968253,7,Big-Wing Secondary Creator
Oshae Brissett,2021-22,1.063,0.101,67,0.708,0.038,0.0,0.0,1.167,0.019,0.0,0.0,0.548,0.049,0.925,0.063,0.942,0.082,0.951,0.419,1.145,0.174,23.3,0.257,3.5,0.166,0.1935483870967742,0.725,0.2,0.075,0.4605263157894737,0.3548387096774193,0.0789473684210526,0.4342105263157895,6,Spot-Up Shooter
Alex Len,2021-22,1.03,0.267,39,0.0,0.0,0.0,0.0,0.0,0.0,0.462,0.053,0.0,0.0,1.0,0.304,1.3,0.121,1.176,0.069,1.048,0.085,15.9,0.0,0.5,0.165,0.3064516129032257,0.55,0.425,0.025,0.1111111111111111,0.0483870967741935,0.0222222222222222,0.2222222222222222,4,Interior Big
Terry Taylor,2021-22,1.457,0.174,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.45,0.152,1.377,0.231,0.951,0.231,1.063,0.121,21.6,0.346,1.2,0.151,0.2763157894736842,0.7272727272727273,0.2363636363636363,0.0363636363636363,0.1791044776119403,0.2105263157894737,0.0597014925373134,0.1791044776119403,12,Stretch Big
Kenrich Williams,2021-22,1.435,0.118,49,0.0,0.0,1.0,0.072,0.9,0.026,0.286,0.036,0.95,0.051,0.0,0.0,0.912,0.087,0.952,0.317,0.947,0.192,21.9,0.532,2.5,0.153,0.5675675675675675,0.5,0.3,0.2,0.3846153846153846,0.554054054054054,0.2307692307692307,0.3076923076923077,3,Versatile Wing Slasher
