PLAYER_NAME,Season,Cut PPP,Cut FREQ,GP,Handoff PPP,Handoff FREQ,Isolation PPP,Isolation FREQ,Misc PPP,Misc FREQ,OffScreen PPP,OffScreen FREQ,Postup PPP,Postup FREQ,PRBallHandler PPP,PRBallHandler FREQ,PRRollman PPP,PRRollman FREQ,OffRebound PPP,OffRebound FREQ,Spotup PPP,Spotup FREQ,Transition PPP,Transition FREQ,Total Poss,MIN,POTENTIAL_AST,DRIVE_PASSES_PCT,PULL_UP_FG3_PCT,CATCH_SHOOT_FG_PCT,FG3A,USG_PCT,POTENTIAL_AST FREQ,Restricted Area FREQ,In The Paint (Non-RA) FREQ,Mid-Range FREQ,3P FREQ,Drives FREQ,PULL_UP FREQ,CATCH_SHOOT FREQ
Derrick Favors,2021-22,1.25,0.217,39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.08,0.429,0.929,0.138,0.467,0.148,0.0,0.0,4.8,16.7,1.2,0.0,0.0,0.434,0.4,0.131,0.25,0.41860465116279066,0.25581395348837205,0.3255813953488371,0.0851063829787234,0.0,0.02127659574468085,0.44680851063829785
Marvin Bagley III,2021-22,1.5,0.148,18,0.0,0.0,1.0,0.053,0.3,0.041,0.0,0.0,0.683,0.169,0.0,0.0,1.364,0.136,1.276,0.119,0.804,0.21,1.36,0.103,13.200000000000001,23.9,1.1,0.181,0.25,0.287,2.0,0.191,0.08333333333333333,0.5270270270270271,0.3783783783783784,0.0945945945945946,0.2150537634408602,0.1818181818181818,0.05376344086021505,0.24731182795698922
DeMar DeRozan,2021-22,1.5,0.018,76,1.164,0.034,1.133,0.165,0.657,0.034,0.967,0.047,1.098,0.063,1.028,0.416,0.0,0.0,1.241,0.015,1.07,0.124,1.199,0.08,25.599999999999998,36.1,9.8,0.357,0.304,0.381,1.9,0.308,0.38281250000000006,0.21195652173913046,0.2554347826086957,0.532608695652174,0.09405940594059406,0.5859375,0.6039603960396039,0.12376237623762376
Josh Christopher,2021-22,1.421,0.057,74,0.457,0.052,0.535,0.064,0.636,0.066,0.0,0.0,0.0,0.0,0.874,0.214,0.0,0.0,1.214,0.042,0.882,0.253,0.954,0.229,8.9,18.0,3.8,0.35,0.279,0.315,2.6,0.205,0.42696629213483145,0.5581395348837209,0.3488372093023256,0.0930232558139535,0.3823529411764706,0.5168539325842696,0.2647058823529412,0.25
Max Strus,2021-22,1.317,0.064,68,0.854,0.15,0.0,0.0,0.421,0.03,1.034,0.183,0.0,0.0,1.057,0.055,1.167,0.028,0.0,0.0,1.246,0.33,1.322,0.141,9.5,23.3,2.2,0.441,0.384,0.411,6.5,0.177,0.23157894736842108,0.7222222222222222,0.16666666666666666,0.11111111111111112,0.7831325301204819,0.16842105263157894,0.1566265060240964,0.6506024096385542
Kyle Anderson,2021-22,1.174,0.079,69,0.824,0.029,0.5,0.055,0.625,0.069,0.714,0.024,0.0,0.0,0.857,0.108,0.688,0.027,1.0,0.084,0.977,0.302,0.882,0.218,8.200000000000001,21.5,4.7,0.297,0.231,0.333,1.6,0.156,0.573170731707317,0.4150943396226416,0.4528301886792453,0.1320754716981132,0.23529411764705885,0.4634146341463414,0.20588235294117646,0.22058823529411764
Anthony Edwards,2021-22,1.174,0.03,72,0.972,0.07,0.907,0.181,0.718,0.046,0.91,0.043,0.0,0.0,0.852,0.267,0.0,0.0,0.966,0.019,1.079,0.156,1.239,0.181,21.299999999999997,34.3,7.9,0.344,0.325,0.421,8.4,0.262,0.3708920187793428,0.6333333333333333,0.2,0.16666666666666666,0.48554913294797686,0.5070422535211269,0.39306358381502887,0.1907514450867052
Tristan Thompson,2021-22,1.152,0.222,30,0.0,0.0,0.0,0.0,0.357,0.068,0.0,0.0,0.5,0.068,0.0,0.0,0.86,0.275,0.836,0.266,0.0,0.0,1.154,0.063,6.6000000000000005,15.7,1.1,0.14,0.0,0.286,0.1,0.168,0.16666666666666666,0.5744680851063831,0.4042553191489362,0.021276595744680854,0.02127659574468085,0.12121212121212122,0.02127659574468085,0.02127659574468085
Ja Morant,2021-22,1.576,0.021,57,1.0,0.044,0.994,0.112,0.629,0.04,1.0,0.02,0.0,0.0,0.921,0.453,0.0,0.0,1.0,0.028,0.935,0.088,1.213,0.192,27.9,33.1,12.7,0.285,0.338,0.339,4.5,0.33,0.4551971326164875,0.4906832298136646,0.43478260869565216,0.07453416149068322,0.21844660194174756,0.7491039426523297,0.3058252427184466,0.0970873786407767
Aaron Wiggins,2021-22,1.3,0.094,50,1.1,0.023,0.6,0.023,0.8,0.035,0.0,0.0,0.0,0.0,0.783,0.108,0.0,0.0,1.069,0.068,0.843,0.39,1.094,0.225,8.2,24.2,2.6,0.384,0.2,0.31,2.8,0.149,0.3170731707317074,0.55,0.425,0.025,0.417910447761194,0.5,0.05970149253731343,0.3731343283582089
