PLAYER_NAME,Season,DEF Handoff PPP,DEF Handoff FREQ,GP,DEF Isolation PPP,DEF Isolation FREQ,DEF OffScreen PPP,DEF OffScreen FREQ,DEF Postup PPP,DEF Postup FREQ,DEF PRBallHandler PPP,DEF PRBallHandler FREQ,DEF PRRollman PPP,DEF PRRollman FREQ,DEF Spotup PPP,DEF Spotup FREQ,FREQ 3 Pointers,PLUSMINUS 3 Pointers,FREQ Less Than 6Ft,PLUSMINUS Less Than 6Ft,FREQ Less Than 10Ft,PLUSMINUS Less Than 10Ft,MIN,DEFLECTIONS,PCT_LOOSE_BALLS_RECOVERED_DEF,REB_CONTEST_PCT,AVG_REB_DIST,DIST_MILES_DEF,AVG_SPEED_DEF,DEFLECTIONS Per36
Damion Lee,2018-19,0.933,0.108,32,0.636,0.079,0.81,0.151,1.1,0.072,0.818,0.24,0.0,0.0,1.075,0.288,0.388,-0.057,0.356,0.064,0.413,0.091,11.7,0.69,0.4,0.156,7.8,0.44,4.14,2.123076923076923
Andre Drummond,2018-19,0.875,0.012,79,1.133,0.054,1.308,0.009,1.116,0.062,1.105,0.01,0.937,0.08,0.914,0.142,0.234,-0.028,0.436,-0.044,0.528,-0.023,33.5,2.85,0.525,0.485,4.0,1.1,3.88,3.0626865671641794
LaMarcus Aldridge,2018-19,0.824,0.012,81,1.049,0.058,0.583,0.017,0.68,0.053,1.038,0.02,1.013,0.055,1.123,0.127,0.216,0.023,0.346,-0.074,0.466,-0.084,33.2,1.11,0.467,0.453,5.7,1.09,3.84,1.2036144578313253
J.J. Barea,2018-19,0.778,0.072,38,0.545,0.088,1.118,0.068,0.63,0.108,0.802,0.36,0.0,0.0,1.047,0.256,0.37,0.086,0.307,0.076,0.395,0.021,19.8,0.68,0.5,0.063,10.0,0.64,3.66,1.2363636363636363
Reggie Bullock,2018-19,0.737,0.114,19,0.765,0.102,1.5,0.096,0.857,0.084,0.881,0.25,0.0,0.0,0.921,0.229,0.324,-0.007,0.399,0.065,0.482,0.048,29.8,0.79,0.694,0.185,9.7,1.02,4.01,0.9543624161073826
Reggie Bullock,2018-19,0.81,0.103,44,1.207,0.071,1.111,0.133,1.056,0.044,0.994,0.42,0.0,0.0,1.147,0.167,0.324,-0.007,0.399,0.065,0.482,0.048,29.8,0.79,0.694,0.185,9.7,1.02,4.01,0.9543624161073826
Rodney Hood,2018-19,0.737,0.102,27,0.571,0.075,0.955,0.118,0.833,0.065,1.086,0.38,0.0,0.0,0.455,0.177,0.36,-0.058,0.363,0.078,0.443,0.074,26.3,1.46,0.605,0.191,10.4,0.85,3.82,1.9984790874524714
Rodney Hood,2018-19,1.118,0.101,45,1.267,0.045,1.143,0.104,1.048,0.062,0.768,0.29,0.0,0.0,0.902,0.303,0.36,-0.058,0.363,0.078,0.443,0.074,26.3,1.46,0.605,0.191,10.4,0.85,3.82,1.9984790874524714
Tony Parker,2018-19,0.636,0.085,56,0.684,0.073,0.85,0.077,1.143,0.054,0.869,0.38,0.0,0.0,0.877,0.282,0.394,-0.039,0.309,-0.058,0.378,-0.037,17.9,0.54,0.545,0.108,10.9,0.59,3.81,1.0860335195530728
Troy Brown Jr.,2018-19,0.583,0.079,52,1.3,0.066,0.5,0.085,1.333,0.039,0.881,0.33,0.0,0.0,0.941,0.331,0.38,-0.107,0.393,0.023,0.466,0.054,14.0,0.77,0.484,0.317,7.6,0.5,3.9,1.98
